Sector,City,Startup_Name,Founded_Year,Funding_Amount,Funding_Rounds,Investor_Count,Team_Size,Revenue,Profit_Margin,Customer_Count,Growth_Rate,Founder_Experience,Market_Size,Predicti2n
FinTech,Bangalore,FinTechCo,2015,5000000,3,5,50,10000000,20,200000,30,15,500000000,2
EdTech,Mumbai,EduStart,2018,1000000,2,3,20,2000000,10,50000,15,8,200000000,1
HealthTech,Delhi,HealthInc,2016,3000000,4,4,30,5000000,5,100000,20,10,800000000,0
AgriTech,Hyderabad,AgriGrow,2017,500000,1,2,10,1000000,15,30000,25,12,100000000,1
Logistics,Pune,LogiTech,2014,10000000,5,7,100,20000000,25,500000,35,20,300000000,2
FoodTech,Chennai,Foodies,2019,750000,2,3,15,800000,-5,10000,5,5,150000000,0
CleanTech,Jaipur,CleanEnergy,2015,2500000,3,4,40,4000000,10,80000,18,18,400000000,2
E-commerce,Kolkata,RetailWave,2016,1500000,2,3,25,3000000,8,60000,12,7,350000000,1
AutoTech,Bangalore,AutoDrive,2014,7000000,4,5,70,12000000,15,300000,25,12,600000000,1
HealthTech,Delhi,MediCare,2017,2000000,3,3,25,3500000,7,90000,20,10,800000000,1
CleanTech,Pune,GreenTech,2013,4500000,3,6,45,8500000,18,175000,22,16,450000000,2
EdTech,Bangalore,QuickTeach,2016,2000000,2,4,25,2200000,12,55000,17,9,250000000,1
HealthTech,Mumbai,MedLife,2014,5000000,4,5,35,9500000,15,185000,21,14,750000000,2
AgriTech,Hyderabad,AgriBoost,2017,750000,1,2,15,1200000,10,32000,19,11,110000000,1
Logistics,Chennai,LogiEase,2015,6000000,5,7,90,18000000,20,450000,33,18,320000000,2
FoodTech,Jaipur,FoodJoy,2018,900000,2,3,12,900000,-2,15000,7,6,130000000,0
CleanTech,Delhi,PowerUp,2015,3000000,3,4,38,6000000,12,95000,16,17,420000000,2
E-commerce,Kolkata,ShopEasy,2016,1800000,2,3,28,3500000,9,70000,14,8,370000000,1
AutoTech,Bangalore,DriveSafe,2014,8000000,4,5,68,13000000,13,275000,23,11,650000000,1
HealthTech,Delhi,WellnessPlus,2017,2500000,3,3,26,3700000,6,95000,19,10,820000000,1
FinTech,Mumbai,FinEasy,2016,3200000,3,4,52,7200000,19,140000,25,14,510000000,2
EdTech,Hyderabad,LearnHub,2019,1100000,2,3,22,1800000,8,43000,12,7,220000000,1
HealthTech,Bangalore,HealthFirst,2015,4500000,4,5,32,8500000,14,190000,18,13,780000000,2
AgriTech,Jaipur,AgriSmart,2018,600000,1,2,14,1100000,11,29000,16,9,120000000,1
Logistics,Chennai,TransLog,2014,7000000,5,7,98,19500000,24,475000,30,19,310000000,2
FoodTech,Pune,FoodFun,2017,850000,2,3,16,1100000,-3,14000,8,6,140000000,0
CleanTech,Kolkata,EnergySave,2015,2800000,3,4,42,6200000,11,89000,17,16,400000000,2
E-commerce,Mumbai,ShopWorld,2016,1700000,2,3,26,3400000,8,65000,15,8,360000000,1
AutoTech,Delhi,DriveMate,2014,7600000,4,5,72,12400000,14,265000,24,12,630000000,1
HealthTech,Hyderabad,LifeCare,2017,2300000,3,3,28,3600000,5,85000,18,10,800000000,1
